,Job Title,Company,Description
1025,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1026,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1027,Director of Medical Records,NYC Health + Hospitals,"As a health information management professional, you are the expert on patient date that doctors, nurses and other health care providers rely on to perform…"
1028,Mental Health Specialist,One Medical,"Excellent clinical and communication skills.
A holistic, team based approach to care and be comfortable with doing consults.
PhD or PsyD in Psychology."
1029,"Senior Director of Engineering, Platform",CLEAR - Corporate,"As a Director of Engineering, you will be responsible for leading multiple technology teams in design, development, test, and deployment of these services."
1030,Institutional Research Specialist/Data Specialist - Research...,The City University of New York (CUNY),Our innovative curriculum allows students to complete both their undergraduate Bachelor of Science (B.S.) and Doctor of Medicine (M.D.) degrees in seven years.
1031,FGP Nurse-Medicine-ID+Immun Division,NYU Langone,"Assist the doctor with skin testing and other procedures as ordered.
In this role, the successful candidate Responsible for carrying out patient care…"
1032,CLINICAL ASSISTANT PROFESSOR (GFT),SUNY Downstate Medical Center,Clinical: To develop a highly productive clinical service focused on in-patient diabetes/glycemic management and participate in clinical endocrinology at SUNY…
1033,"Senior Technical Program Manager, Direct Commerce - HBO Max",HBO Max,Our team of Technical Program Managers works closely with payment providers and cross-department stakeholders to deliver purchase capabilities across HBO Max…
1034,Credentialed Vet Tech,VCA Animal Hospitals,"Physical examinations and patient assessment.
Compassionate care for our hospitalized patients."
1035,Physicians - All Specialties,Essen Health Care,"With five clinical divisions, patient care is provided in medical offices, 16 urgent care centers, hospitals, and nursing homes, as well as directly to patients…"
1036,HR Director,Sermo,"Support local managers and leaders in the recruitment, management, development and engagement of their teams in a pro-active manner, ensuring positions are…"
1037,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1038,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1039,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1040,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1041,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1042,HR Director,Sermo,"Support local managers and leaders in the recruitment, management, development and engagement of their teams in a pro-active manner, ensuring positions are…"
1043,Solutions Architect,CLEAR - Corporate,"While this role works alongside the product, technology, and business development teams, it reports directly to the Director of Product Innovation, based in New…"
1044,"Pharmacist In Charge, NYC",Alto Pharmacy,"Because staying on track with doctor's orders requires more than just delivering pills, we're managing everything from insurance logistics to pricing, late…"
1045,Software Development Engineer in Test,Capsule,"As a Software Development Engineer in Test at Capsule, you will be responsible for creating and designing test automation for our internal and external front…"
1046,Data Analytics Manager,Weill Cornell Medicine,"Performs business intelligence, data mining, costing information and analysis to develop key strategies and solutions with significant impact on lowering costs…"
1047,CLINICAL PATHOLOGIST / CLINICAL MICROBIOLOGIST,SUNY Downstate Medical Center,Medical doctors must be eligible for a New York State Medical License and American Board of Pathology certification in Clinical Pathology.
1048,Registered Nurse/Licensed Vocational Nurse,Heal,"Per diem and full time opportunities.
A day in the life of a Heal Doctor RN/LVN:
Your day begins by ensuring your medical kit is fully stocked with all the…"
1049,Korean Bilingual Interpreter,CyraCom,"Please note this is not a remote position.
As a bilingual interpreter, you will use your working languages and interpersonal skills to provide accurate meaning…"
1050,Clinical Nurse I - 10 East - Per Diem,Hospital for Special Surgery,Work collaboratively with multidisciplinary health care teams to maintain the standards of professional nursing practices in a clinical setting.
1051,Mandarin Bilingual Interpreter,CyraCom,"Please note this is not a remote position.
As a bilingual interpreter, you will use your working languages and interpersonal skills to provide accurate meaning…"
1052,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1053,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1054,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1055,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1056,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1057,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1058,Marketing Coordinator,Sollis Health,"We are looking for a savvy Marketing Coordinator to join the team, who reports directly to both the Marketing Director and Brand Marketing Director."
1059,Veterinary Technician,Heart of Brooklyn Veterinary Hospital,"We are currently looking for a full time and part time Veterinary Technician for both our locations.
Utilize clinical training and skills."
1060,Group Leader,The Leadership Program,Of Health fingerprinting; provide a doctor's note certifying good health; proof of negative results from TB test; and State Central Registry (SCR) clearance.
1061,Harm Reduction Counselor,gmhc,"Assist in the coordination of service transition and linkage with clients’ case managers, patient navigators, doctors, psychiatrists, counselors and other…"
1062,Occupational Therapist (TWG),The Weston Healthcare Group,"Work in conjunction with doctors when necessary.
Provide occupational therapy treatments, supervise treatments provided by certified occupational therapy…"
1063,Health Specialist/Nurse ECED,Cardinal Mccloskey Svcs.,"Support the delivery of high quality and comprehensive health services for.
The Health Specialist will provide a broad range of."
1064,Audiologist,HearUSA,"Administers and interprets variety of tests such as air and bone conduction, and speech reception and discrimination tests to determine type and degree of…"
1065,Nursing Supervisor,JS Consulting,"Inform family members about medical procedures and doctors’ instructions.
Our ideal candidate has solid experience as a registered nurse and is able to handle…"
1066,Clinical Pharmacist (Pediatrics),NYU Langone Health,"In this role, the successful candidate will provide clinical oversight of the pediatrics and neonatal ICU.
Accurately verifies medication orders and ensure that…"
1067,Part time Behavioral Health Clinician (Fee-for-service),Hamilton-Madison House,"Coordinate counseling efforts with mental health professionals, other health professionals and justice criminal system entity such as psychiatrist, medical…"
1068,"Optometrist (Fill-In) - Brooklyn, NY",LasikPlus,"Furthermore, it is important that you display excellent verbal and written communication, interpersonal and presentation skills, with the commitment to provide…"
1069,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1070,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1071,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1072,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1073,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1074,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1075,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1076,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1077,"Medical Scribe FMG, IMG Or MD Med Student Match-Spanish spea...",Medical Therapy of NY,"You will See patients with doctor and enter data into Electronic Medical Record computer system.
Must be fast and accurate typist."
1078,Internal Medicine/Family Medicine Physician,"Leaf Medical, PLLC","Board Certification/Board Eligible and Licensed in the State of New York.
A desire to spend more time with each patient and see fewer patients than the…"
1079,Veterinary Regional Manager-NY Metro,PetVet Care Centers,"Proactive referring doctor and client communication, and marketing.
Regional Managers support the managers and medical directors to meet and exceed their…"
1080,Intern Pharmacist,Capsule,"Manage the transfers of new and existing prescriptions.
Assist pharmacists on patient counseling and prescriber outreach as directed by a pharmacist in cases of…"
1081,"Senior Sales Director, Media/Platform",PulsePoint,"The ideal candidate for this role has a deep understanding of and experience selling directly to ad agencies throughout the US.
1-2 years platform sales."
1082,Physician - Nursing Home,KHS,"This is a full time Nursing Home position with great pay and benefits.
Ideal physician candidates are licensed in New York and board certified in Internal…"
1083,Psychiatrist; 4161-602-A,Catholic Charities Brooklyn and Queens,"Each psychiatrist is responsible for providing state of the art, professional and respectful psychiatric services to the client population."
1084,Database Developer,WebMD,WebMD is looking for a Database Developer with a diverse background in data integration to join the Data Management team.
1085,Benefits Specialist,The Jericho Project,"Facilitate necessary appointments to medical doctors, psychiatrists, or other specialists to obtain evidence to support the disability application."
1086,Vet Tech (non-credentialed),VCA Animal Hospitals,"Licensed or license eligible preferred, but unlicensed candidates with exceptional technical skills will be considered.
Fear Free handling and safe restraint."
1087,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1088,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1089,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1090,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1091,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1092,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1093,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1094,Practice Manager - Chelsea,Veterinary Emergency Group,"Supervise, train and hire all non-doctor staff.
Prepare and deliver employee evaluations and file documentation appropriately."
1095,Home Health Aides with WEEKEND AVAILABILITY Needed,Alvita Home Care- New Jersey,"Transportation to doctor's offices and other appointments.
Light housekeeping (laundry, vacuuming, etc.).
Flex spending medical benefit program."
1096,Instructor/Assistant Professor,Columbia University,"Full time positions are available for outpatient psychiatrists to work within ColumbiaDoctors outpatient faculty practice.
MD or DO from accredited institution."
1097,Specialty Laboratory Technologist - Blood Bank - Full Time/E...,Mount Sinai,"Excellent in oral and written communication since there is a daily communication with external public like doctors, nurses, medical secretaries, etc."
1098,Veterinary Technician,Bath animal hospital,"Skills include proper restraint,blood drawing,assistance in surgery, radiology, IV catheter placement, anesthetic monitoring, nursing care, doctor assisting and…"
1099,Specialty Laboratory Technologist - Blood Bank - Part Time/D...,Mount Sinai,"Excellent in oral and written communication since there is a daily communication with external public like doctors, nurses, medical secretaries, etc."
1100,"Public Health Nurse, Bureau of School Health",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Preparing case findings, making referrals and conducting follow-up in conjunction with audiovisual screening team, doctors and other Health care providers in…"
1101,Specialty Laboratory Technologist - Blood Bank - Full Time/N...,Mount Sinai,"Excellent in oral and written communication since there is a daily communication with external public like doctors, nurses, medical secretaries, etc."
1102,"Manager, ServiceNow",Weill Cornell Medicine,"Responsible for providing guidance in functional design and system configuration.
Champions Weill Cornell Medicine's business requirements and leads the value…"
1103,Direct Support Professional-Co-op City,Saint Dominic's Family Services,"Knowledge of Individual Habilitation Plans, Core Competencies, constant supervision and observation of individuals, assist in maintaining cleanliness of the…"
1104,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1105,Doctor of Veterinary Medicine,Banfield Pet Hospital,"Practicing ethical veterinary medicine according to all applicable laws and codes.
Using evidence-based medicine, education, and experience to provide the…"
1106,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1107,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1108,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1109,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1110,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1111,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1112,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1113,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1114,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1115,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1116,Medical Assistant/Front Desk Receptionist,BIG APPLE MEDICAL WALKIN URGENTCARE,"Saves doctors’ time by helping with office procedures.
Helps patients by providing information, services, and assistance.
Typing Doctor’s Letters and Memos."
1117,"Education Specialist, After School (PS 104)","Sheltering Arms Children and Family Services, Inc.","A special emphasis on Science, Technology, Engineering, and Math (STEM) programs ensures students gain the technical skills and insights they need to lead as…"
1118,Aesthetic Dermatology Office Manager,Khrom Dermatology and Aesthetics,"In your role as Office Manager, you are a key link in our relationships with patients and must constantly strive to provide the highest level of patient care."
1119,"Legal, Global Bank Regulatory Attorney, Vice President",Goldman Sachs,"This attorney will be involved in advising on all aspects of legal, regulatory and compliance matters related to U. S. bank regulatory matters, including…"
1120,Pharmacy Liaison- Montefiore Medical Center,Shields Health Solutions,"Critical to this position is a person who is able to work independently and establish strong and credible relationships with patients, clinicians and internal…"
1121,Physician (Primary Care),Bethany Medical Clinic of New York,Clinic hours for full time are 40 hours a week on a set schedule and there is no additional call or hospital coverage.
1122,MD,Preferred Choice,"Previous or strong long term care/nursing home/rehabilitation experience.
Ability to pay attention to detail and to be a self-starter."
1123,Physician - Urgent Care,KHS,"This is a full time Urgent Care position with excellent pay and benefits.
Ideal physician candidates are licensed in New York and board certified in Emergency…"
1124,VP Care Management LT,Healthfirst,"The VP, Care Management is responsible for providing the strategic guidance, direction and overall management of the Care Management function and processes…"
1125,"OBGYN Gynecologist Physician - Greenwich Street - Manhattan,...",Mount Sinai,"No teaching, research, or administrative responsibilities.
Competitive salary and benefits offered including paid time off, medical, dental, vision, and…"
1126,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1127,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1128,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1129,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1130,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1131,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1132,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1133,Direct Support Professional- Bronx,Saint Dominic's Family Services,"Knowledge of Individual Habilitation Plans, Core Competencies, constant supervision and observation of individuals, assist in maintaining cleanliness of the…"
1134,Psychiatrist - NYC Correctional Health,Physician Affiliate Group of NY,"NYC Health + Hospitals/Correctional Health Service (CHS) is a national leader in the delivery of healthcare to the justice-involved population and, with PAGNY’s…"
1135,Lead Mobile Developer,Tatch,"Our platform delivers consumer comfort with clinical performance by using cutting-edge sensor design, a cloud-native suite of state-of-the-art algorithms and a…"
1136,Nurse Practitioner,"Leake and Watts Services, Inc",The Physician’s Assistant/Nurse Practitioner reports to the Vice President of Health Services and will consult with the Medical Doctor.
1137,Lead Web Developer,Tatch,"Our platform delivers consumer comfort with clinical performance by using cutting-edge sensor design, a cloud-native suite of state-of-the-art algorithms and a…"
1138,Family medicine Physician,Medijobs US,"There is no rule for a doctor to work on a Saturday.
Job type: full-time, contract.
5% salary increase every year (depending on performance);"
1139,Consumer Banking Attorney - Assistant Vice President,Apple Bank for Savings,"The position will work closely with the Legal Department, primarily with the Deputy General Counsel of the Consumer Banking group."
1140,Sr. Product Manager - Experimentation (HBO Max),HBO Max,"You will be responsible for leading experiment ideation driven by data insights to create learning objectives.
Paid time off every year to volunteer."
1141,Senior Software Engineer - Full Stack,Zocdoc,"You'll build scalable products that make the healthcare experience for patients, providers, and Zocdocr's simpler, safer, and more efficient."
1142,Shift Nurse (RN),"SeniorBridge, Inc.",As a shift nurse you will provide direct care to members and their families according to the established plan of care and provide a multidisciplinary approach…
1143,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1144,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1145,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1146,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1147,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1148,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1149,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1150,Shift Nurse (RN),"SeniorBridge, Inc.",As a shift nurse you will provide direct care to members and their families according to the established plan of care and provide a multidisciplinary approach…
1151,"Director, Diamond Law Library",Columbia University,"To achieve these objectives, the Director must possess an ability to: think strategically and creatively about service delivery, collection development, budget…"
1152,Site Reliability Engineer,Capsule,You'll be responsible for the design and deployment procedures of Capsule's customer facing applications and internal facing tools in collaboration with fellow…
1153,Physician Cardiology - Midtown and Lincoln Square,AdvantageCare Physicians,We are seeking a Non-Invasive Cardiology trained physician to join us in pursuit of high quality patient care to provide Cardiology services including but not…
1154,"Senior Staff Engineer, Content Management - HBO Max",HBO Max,"As a Senior Staff Software Engineer, you will design and help implement scalable systems that take advantage of managed services and infrastructure (e.g., the…"
1155,"Medical Scribe FMG, IMG Or MD Med Student Match-Spanish spea...","Medical Therapy of NY, PLLC","You will See patients with doctor and enter data into Electronic Medical Record computer system.
Must be fast and accurate typist."
1156,Market Development Manager - Enterprise,Doctor.com,"From planning highly personalized campaigns and building content to calling into accounts and going to events, you'll work with the sales, marketing and events…"
1157,"Physician -- House Calls in Queens, NY",Landmark Health,"Through the integration of technology, a highly innovative care delivery model, and multidisciplinary clinical teams, Landmark delivers health management…"
1158,Benefits & Entitlement/Intake Specialist (P/T 20 HRS),The Salvation Army Eastern Territory,"Attend disability related appointments with doctors and the Social Security Administration offices.
Request all complete Social Security Disability (SSD),…"
1159,"Senior Software Engineer, Backend (NYC)",Pager,"Started in 2014 and based in New York City, Pager is led by seasoned technology and healthcare entrepreneurs to redefine the way that consumers interact with…"
1160,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1161,Orthodontic Dental Assistant,Orthodontics,"Looking for 100% solid orthodontic background.
We are a high tech, top quality, and patient care focused practice."
1162,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1163,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1164,Telephone Representative II,1199SEIU Family of Funds,"Communicate with doctors, hospitals, and other professionals via telephone regarding 1199SEIU members, dependent eligibility for health benefits, claims, and…"
1165,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1166,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1167,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1168,Medical / Optometrist Assistant,Vision Care,"The doctor is willing to be flexible with making a schedule for the right candidate.
The doctor is willing to be flexible with making a full time schedule for…"
1169,Residence Counselor/Medical Coordinator,Constructive Partnerships Unlimited,"Administers oral, sub-cutaneous injected medications and topical according to doctors’ orders and under the direction of a nurse."
1170,Engineering Manager (Backend),Pager,"6+ years of real-world development experience.
1+ year of managerial experience.
Hands on experience managing a team of 4+ engineers."
1171,LPN,The Grand Rehabilitation & Nursing at Great Neck,"Supervised by A doctor or a registered nurse.
We are seeking experienced LPN's with 1 year of experience in a Nursing Home or Hospital."
1172,"Program Director's Assistant, After School (PS 104)","Sheltering Arms Children and Family Services, Inc.","A special emphasis on Science, Technology, Engineering, and Math (STEM) programs ensures students gain the technical skills and insights they need to lead as…"
1173,"Data Engineer, Digital & Comp Pathology",Paige,"Provide consultation and guidance to scientists, engineers, as well as other bioinformatics engineers and medical doctors."
1174,Physician-Internal Medicine,Harlem United,"Under the supervision of the Medical Director and in accordance with established policies and procedures, the Internal Medicine Physician delivers high quality…"
1175,Director of Regulatory Affairs,NYC Health + Hospitals,The Director Accreditation & Regulatory Affairs is responsible for ensuring continuous survey readiness and compliance with all accreditation standards across…
1176,Cloud Architect - HBO Max,HBO Max,"A successful candidate will be a highly skilled individual who has a proven track record of architecting large, complex AWS services and takes pride in bringing…"
1177,COORDINATOR - INFECT. DIS. PHARM,The Brookdale Hospital Medical Center,The Coordinator of Infectious Diseases Pharmacotherapy Services & Pharmacy Residency Programs oversees the operation of Infectious Diseases Pharmacotherapy…
1178,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1179,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1180,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1181,Behavioral Health Therapist,Tia,"Tia encourages honest and transparent conversations about patients’ health, both with their care team and their community of members, to help women make…"
1182,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1183,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1184,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1185,"Data Engineer, Digital and Computational Pathology",Memorial Sloan-Kettering Cancer Center,"Provide consultation and guidance to scientists, engineers, as well as other bioinformatics engineers and medical doctors, at the Center and partnering…"
1186,Attending Urologist,Physician Affiliate Group of NY,"New York City Mayor Bill DeBlasio announced he will be bringing ""universal health care"" to America's biggest city through a program called NYC Care."
1187,Lead Data Scientist,AETNA,"A Lead Data Scientist will lead a team that develops predictive models, works with clinical experts (e.g. doctors) to translate their subject matter expertise…"
1188,Senior Salesforce Engineer,K Health,We are a growing startup looking for a Sr. Salesforce Developer with a senior developer skill-level who can work with self-direction to plan and implement…
1189,Mental Health Counselor/Therapist,"CREATE, Inc.","< Works closely with other physical and mental health professionals, such as doctors, psychologists and social workers;
Human services: 1 year (Preferred)."
1190,Global Hematology Franchise Sr.Medical Director - MD,Pfizer,"The Global Hematology Senior Medical Director will serve as an expert in the hematology disease area and lead execution of evidence and insight generation,…"
1191,Engineering Manager (Backend/Platform),Pager,"We are looking for an Engineering Manager with a strong Platform/Site Reliability mindset to help manage members of our Backend chapter members, help bridge…"
1192,Licensed Practical Nurse (Wellness Manager),The Brielle at Seaview,"Administers medications and treatments per signed doctors orders in an accurate, safe manner, observes effectiveness and reports to physician if needed."
1193,"Account Executive, Oncology - Manhattan North, NY",Ambry Genetics,"The successful Account Executive will need a level of sophistication to handle customer relationships with industry thought leaders, manage the dynamics between…"
1194,Financial Crime Audit Senior Consultant,Crowe,"Benefits: The firm promotes healthy living through its internal well-being portal, which allows Crowe individuals to complete wellness activities – such as…"
1195,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1196,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1197,Physician - Urgent Care,KHS,"This is a full time Urgent Care position with excellent pay and benefits.
Ideal physician candidates are licensed in New York and board certified in Emergency…"
1198,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1199,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1200,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1201,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1202,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1203,Staff Physicians (MD / DO),Centers Health Care,Boro Park Center is recruiting Geriatric or Internal Medicine specialists to serve as the attending Physicians during day time hours for our Skilled Nursing…
1204,Family Medicine Physician,One Medical,"Full time (32 or 40 hours a week).
Excellent clinical and communication skills.
Experience seeing Pediatric patients from newborns up (2 year minimum required)."
1205,Field Nurse - Queens/Brooklyn,Advanced Care Placement Services,"Responsible for conducting home assessments, Point of Contact for HHA's, performing head-to-toe physicals, managing doctors orders and six month reassessments."
1206,LPN,Competent Nursing,"Follow up with, execute and properly document doctors’ orders.
A skilled nursing facility in Far Rockaway (Queens) is currently seeking an exceptional licensed…"
1207,Security Officer - Bank - Flex,G4S,"Deter criminal activity and misconduct.
Major Medical, Dental and Vision.
In addition, G4S provides benefits that are automatically available to all full or…"
